common,strat_id,psu_id,YEAR,ST,MODE_FX,AREA_X,ID_CODE,SUB_REG,WAVE,MONTH,kod,SP_CODE,CLAIM,RELEASE,HARVEST,CLAIM_UNADJ,HARVEST_UNADJ,RELEASE_UNADJ,tot_len_a,wgt_a,tot_len_b1,wgt_b1,tot_cat,wgt_ab1,tot_len,landing,var_id,arx_method,alt_flag,fl_reg,wp_catch_precal,wp_int,wp_catch,date_published
,201316128301we,15156201301213143,2013,12,3,1,1515620130121015,6,1,01,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128301we,,0,8,574.15245677,9243.3432429,9243.3432429,05/04/2021
,201316128302we,155582013021725170,2013,12,3,1,1555820130217004,6,1,02,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128302we,,0,8,1113.1986339,5574.0621814,5574.0621814,05/04/2021
,201316128301we,15508201301206174,2013,12,3,1,1550820130120027,6,1,01,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128301we,,0,8,787.82812507,7751.5913285,7751.5913285,05/04/2021
,201316128302we,15112201302031271819,2013,12,3,1,1511220130203009,6,1,02,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128302we,,0,8,645.64951657,10290.397296,10290.397296,05/04/2021
,201316128302we,154472013021699237,2013,12,3,1,1544720130216004,6,1,02,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128302we,,0,8,806.60057041,4268.8380447,4268.8380447,05/04/2021
,201316128302wd,15508201302209299,2013,12,3,1,1550820130220016,6,1,02,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128302wd,,0,8,1676.2991498,14370.259112,14370.259112,05/04/2021
,201316128302wd,15558201302129985,2013,12,3,1,1555820130212010,6,1,02,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128302wd,,0,8,1549.9964803,7433.5621585,7433.5621585,05/04/2021
,201316128301we,1543720130120991448,2013,12,3,1,1543720130120020,6,1,01,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128301we,,0,8,529.44607741,2908.0150887,2908.0150887,05/04/2021
,201316128301we,15508201301206174,2013,12,3,1,1550820130120005,6,1,01,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128301we,,0,8,787.82812507,7751.5913285,7751.5913285,05/04/2021
,201316128301wd,1511220130130127295,2013,12,3,1,1511220130130010,6,1,01,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128301wd,,0,8,3049.695387,45496.963557,45496.963557,05/04/2021
,201316128302wd,15508201302069137,2013,12,3,1,1550820130206031,6,1,02,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128302wd,,0,8,308.48184529,3543.2862251,3543.2862251,05/04/2021
,201316128301we,155582013012011109,2013,12,3,1,1555820130120021,6,1,01,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128301we,,0,8,998.37042596,5085.2249498,5085.2249498,05/04/2021
,201316128302we,1544720130210117,2013,12,3,1,1544720130210010,6,1,02,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128302we,,0,8,556.86457762,3205.682453,3205.682453,05/04/2021
,201316128301we,155582013012011109,2013,12,3,1,1555820130120022,6,1,01,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128301we,,0,8,998.37042596,5085.2249498,5085.2249498,05/04/2021
,201316128301we,15156201301213143,2013,12,3,1,1515620130121013,6,1,01,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128301we,,0,8,574.15245677,9243.3432429,9243.3432429,05/04/2021
,201316128302we,155582013021725170,2013,12,3,1,1555820130217002,6,1,02,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128302we,,0,8,1113.1986339,5574.0621814,5574.0621814,05/04/2021
,201316128302wd,15437201302259985,2013,12,3,1,1543720130225005,6,1,02,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128302wd,,0,8,813.74815217,4021.1594494,4021.1594494,05/04/2021
,201316128301we,151122013012735163,2013,12,3,1,1511220130127016,6,1,01,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128301we,,0,8,1135.2149321,17459.943208,17459.943208,05/04/2021
,201316128302wd,15508201302069137,2013,12,3,1,1550820130206001,6,1,02,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128302wd,,0,8,308.48184529,3543.2862251,3543.2862251,05/04/2021
,201316128301we,1543720130120991448,2013,12,3,1,1543720130120014,6,1,01,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128301we,,0,8,529.44607741,2908.0150887,2908.0150887,05/04/2021
,201316128302wd,15508201302209299,2013,12,3,1,1550820130220021,6,1,02,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128302wd,,0,8,1676.2991498,15551.708499,15551.708499,05/04/2021
,201316128302we,15112201302031271819,2013,12,3,1,1511220130203014,6,1,02,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128302we,,0,8,645.64951657,10290.397296,10290.397296,05/04/2021
,201316128301we,1543720130120991448,2013,12,3,1,1543720130120018,6,1,01,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128301we,,0,8,529.44607741,3088.958662,3088.958662,05/04/2021
,201316128302we,15112201302031271819,2013,12,3,1,1511220130203008,6,1,02,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128302we,,0,8,645.64951657,10290.397296,10290.397296,05/04/2021
,201316128302wd,15508201302069137,2013,12,3,1,1550820130206006,6,1,02,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128302wd,,0,8,308.48184529,3543.2862251,3543.2862251,05/04/2021
,201316128301we,1543720130120991448,2013,12,3,1,1543720130120004,6,1,01,we,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128301we,,0,8,529.44607741,3088.958662,3088.958662,05/04/2021
,201316128301wd,1554220130130991448,2013,12,3,1,1554220130130010,6,1,01,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128301wd,,0,8,366.46247062,2269.8759442,2269.8759442,05/04/2021
,201316128302wd,155422013020885341,2013,12,3,1,1554220130208010,6,1,02,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128302wd,,0,8,1042.1917069,9250.1822468,9250.1822468,05/04/2021
,201316128302wd,15437201302259985,2013,12,3,1,1543720130225012,6,1,02,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128302wd,,0,8,813.74815217,4021.1594494,4021.1594494,05/04/2021
,201316128302wd,1511220130205127142,2013,12,3,1,1511220130205007,6,1,02,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128302wd,,0,8,231.13661301,4219.9740216,4219.9740216,05/04/2021
,201316128302wd,155422013020885341,2013,12,3,1,1554220130208001,6,1,02,wd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201316128302wd,,0,8,1042.1917069,9984.7150733,9984.7150733,05/04/2021
