common,strat_id,psu_id,YEAR,ST,MODE_FX,AREA_X,ID_CODE,SUB_REG,WAVE,kod,SP_CODE,CLAIM,RELEASE,HARVEST,CLAIM_UNADJ,HARVEST_UNADJ,RELEASE_UNADJ,tot_len_a,wgt_a,tot_len_b1,wgt_b1,region,month,tot_cat,wgt_ab1,tot_len,landing,var_id,arx_method,alt_flag,strat_interval,fl_reg,wp_catch_precal,wp_int,wp_catch,date_published
,201403913weS:8AM-8PM,201429131729620140328,2014,9,3,5,1729620140328001,4,2,we,,0,0,0,0,0,0,0,0,0,0,1,03,0,0,0,0,201403913weS:8AM-8PM,,0,,8,0,0,0,05/04/2021
,201403913weS:8AM-8PM,201429131729620140328,2014,9,3,5,1729620140328002,4,2,we,,0,0,0,0,0,0,0,0,0,0,1,03,0,0,0,0,201403913weS:8AM-8PM,,0,,8,0,0,0,05/04/2021
,201404913weS:8AM-8PM,201429131729620140418,2014,9,3,5,1729620140418001,4,2,we,,0,0,0,0,0,0,0,0,0,0,1,04,0,0,0,0,201404913weS:8AM-8PM,,0,,8,0,0,0,05/04/2021
,201404913weS:8AM-8PM,201429131730420140412,2014,9,3,5,1730420140412001,4,2,we,,0,0,0,0,0,0,0,0,0,0,1,04,0,0,0,0,201404913weS:8AM-8PM,,0,,8,0,0,0,05/04/2021
,201404913weS:8AM-8PM,201429131730420140413,2014,9,3,5,1730420140413001,4,2,we,,0,0,0,0,0,0,0,0,0,0,1,04,0,0,0,0,201404913weS:8AM-8PM,,0,,8,0,0,0,05/04/2021
,201404913weS:8AM-8PM,201429131741320140427,2014,9,3,5,1741320140427001,4,2,we,,0,0,0,0,0,0,0,0,0,0,1,04,0,0,0,0,201404913weS:8AM-8PM,,0,,8,0,0,0,05/04/2021
,201404913weS:8AM-8PM,201429131741320140427,2014,9,3,5,1741320140427002,4,2,we,,0,0,0,0,0,0,0,0,0,0,1,04,0,0,0,0,201404913weS:8AM-8PM,,0,,8,0,0,0,05/04/2021
,201404913weS:8AM-8PM,201429131741320140427,2014,9,3,5,1741320140427003,4,2,we,,0,0,0,0,0,0,0,0,0,0,1,04,0,0,0,0,201404913weS:8AM-8PM,,0,,8,0,0,0,05/04/2021
,201403917weS:8AM-8PM,201429171729620140322,2014,9,7,5,1729620140322001,4,2,we,,0,0,0,0,0,0,0,0,0,0,1,03,0,0,0,0,201403917weS:8AM-8PM,,0,,8,5412.2165113,27531.068536,27531.068536,05/04/2021
,201403917weS:8AM-8PM,201429171729620140322,2014,9,7,5,1729620140322002,4,2,we,,0,0,0,0,0,0,0,0,0,0,1,03,0,0,0,0,201403917weS:8AM-8PM,,0,,8,5412.2165113,27531.068536,27531.068536,05/04/2021
,201403917weS:8AM-8PM,201429171730420140329,2014,9,7,5,1730420140329001,4,2,we,,0,0,0,0,0,0,0,0,0,0,1,03,0,0,0,0,201403917weS:8AM-8PM,,0,,8,1527.3384246,7769.323115,7769.323115,05/04/2021
CHAIN PICKEREL,201403917weS:8AM-8PM,201429171741320140328,2014,9,7,5,1741320140328001,4,2,we,8758010103,0,1,0,0,0,1,0,0,0,0,1,03,1,0,0,0,201403917weS:8AM-8PM,,0,,8,2296.0918533,11679.847258,11679.847258,05/04/2021
WHITE PERCH,201403917weS:8AM-8PM,201429171741320140328,2014,9,7,5,1741320140328001,4,2,we,8835020101,0,1,0,0,0,1,0,0,0,0,1,03,1,0,0,0,201403917weS:8AM-8PM,,0,,8,2296.0918533,11679.847258,11679.847258,05/04/2021
STRIPED BASS,201403917weS:8AM-8PM,201429171741320140328,2014,9,7,5,1741320140328001,4,2,we,8835020102,0,6,0,0,0,6,0,0,0,0,1,03,6,0,0,0,201403917weS:8AM-8PM,,0,,8,2296.0918533,11679.847258,11679.847258,05/04/2021
CHAIN PICKEREL,201403917weS:8AM-8PM,201429171741320140328,2014,9,7,5,1741320140328002,4,2,we,8758010103,0,1,0,0,0,1,0,0,0,0,1,03,1,0,0,0,201403917weS:8AM-8PM,,0,,8,2296.0918533,11679.847258,11679.847258,05/04/2021
WHITE PERCH,201403917weS:8AM-8PM,201429171741320140328,2014,9,7,5,1741320140328002,4,2,we,8835020101,0,1,0,0,0,1,0,0,0,0,1,03,1,0,0,0,201403917weS:8AM-8PM,,0,,8,2296.0918533,11679.847258,11679.847258,05/04/2021
STRIPED BASS,201403917weS:8AM-8PM,201429171741320140328,2014,9,7,5,1741320140328002,4,2,we,8835020102,0,2,0,0,0,2,0,0,0,0,1,03,2,0,0,0,201403917weS:8AM-8PM,,0,,8,2296.0918533,11679.847258,11679.847258,05/04/2021
LARGEMOUTH BASS,201403917weS:8AM-8PM,201429171741320140328,2014,9,7,5,1741320140328002,4,2,we,8835160602,0,1,0,0,0,1,0,0,0,0,1,03,1,0,0,0,201403917weS:8AM-8PM,,0,,8,2296.0918533,11679.847258,11679.847258,05/04/2021
YELLOW PERCH,201403917weS:8AM-8PM,201429171741320140328,2014,9,7,5,1741320140328002,4,2,we,8835200201,0,2,0,0,0,2,0,0,0,0,1,03,2,0,0,0,201403917weS:8AM-8PM,,0,,8,2296.0918533,11679.847258,11679.847258,05/04/2021
,2014032523weS:8AM-8PM,2014225231722620140329,2014,25,3,5,1722620140329001,4,2,we,,0,0,0,0,0,0,0,0,0,0,2,03,0,0,0,0,2014032523weS:8AM-8PM,,0,,8,1743.4949513,9325.962799,9325.962799,05/04/2021
,2014042513weS:8AM-8PM,2014225131726920140406,2014,25,3,5,1726920140406001,4,2,we,,0,0,0,0,0,0,0,0,0,0,1,04,0,0,0,0,2014042513weS:8AM-8PM,,0,,8,2724.0152553,14570.770576,14570.770576,05/04/2021
TAUTOG,2014042523weS:8AM-8PM,2014225231730220140412,2014,25,3,5,1730220140412001,4,2,we,8839010101,0,2,0,0,0,2,0,0,0,0,2,04,2,0,0,0,2014042523weS:8AM-8PM,,0,,8,9491.8673165,50772.043488,50772.043488,05/04/2021
,2014042523weS:8AM-8PM,2014225231730220140412,2014,25,3,5,1730220140412002,4,2,we,,0,0,0,0,0,0,0,0,0,0,2,04,0,0,0,0,2014042523weS:8AM-8PM,,0,,8,9491.8673165,50772.043488,50772.043488,05/04/2021
,2014042523weS:8AM-8PM,2014225231730220140427,2014,25,3,5,1730220140427001,4,2,we,,0,0,0,0,0,0,0,0,0,0,2,04,0,0,0,0,2014042523weS:8AM-8PM,,0,,8,12941.292782,69223.036736,69223.036736,05/04/2021
,2014042523weS:8AM-8PM,2014225231730220140427,2014,25,3,5,1730220140427002,4,2,we,,0,0,0,0,0,0,0,0,0,0,2,04,0,0,0,0,2014042523weS:8AM-8PM,,0,,8,12941.292782,69223.036736,69223.036736,05/04/2021
,2014042523wdS:8AM-8PM,2014225231730320140402,2014,25,3,5,1730320140402001,4,2,wd,,0,0,0,0,0,0,0,0,0,0,2,04,0,0,0,0,2014042523wdS:8AM-8PM,,0,,8,14109.603936,75472.338664,75472.338664,05/04/2021
,2014042523wdS:8AM-8PM,2014225231730320140402,2014,25,3,5,1730320140402002,4,2,wd,,0,0,0,0,0,0,0,0,0,0,2,04,0,0,0,0,2014042523wdS:8AM-8PM,,0,,8,14109.603936,75472.338664,75472.338664,05/04/2021
ATLANTIC COD,2014042525weS:8AM-8PM,2014225251726620140427,2014,25,5,2,1726620140427001,4,2,we,8791030402,0,40,12,0,12,40,0,0,6760.8,25.882653527,2,04,52,25.882653527,6760.8,12,2014042525weS:8AM-8PM,,0,,8,209.86826675,209.86826675,209.86826675,05/04/2021
HADDOCK,2014042525weS:8AM-8PM,2014225251726620140427,2014,25,5,2,1726620140427001,4,2,we,8791031301,0,10,8,0,8,10,0,0,4420.8,16.436659602,2,04,18,16.436659602,4420.8,8,2014042525weS:8AM-8PM,,0,,8,209.86826675,209.86826675,209.86826675,05/04/2021
ATLANTIC COD,2014042525weS:8AM-8PM,2014225251726620140427,2014,25,5,2,1726620140427002,4,2,we,8791030402,0,30,12,0,12,30,0,0,6981.6,28.81001372,2,04,42,28.81001372,6981.6,12,2014042525weS:8AM-8PM,,0,,8,209.86826675,209.86826675,209.86826675,05/04/2021
HADDOCK,2014042525weS:8AM-8PM,2014225251726620140427,2014,25,5,2,1726620140427002,4,2,we,8791031301,0,10,8,0,8,10,0,0,4638.4,17.945905957,2,04,18,17.945905957,4638.4,8,2014042525weS:8AM-8PM,,0,,8,209.86826675,209.86826675,209.86826675,05/04/2021
ATLANTIC COD,2014042525weS:8AM-8PM,2014225251726620140427,2014,25,5,2,1726620140427003,4,2,we,8791030402,0,30,12,0,12,30,0,0,7012.8,28.78984282,2,04,42,28.78984282,7012.8,12,2014042525weS:8AM-8PM,,0,,8,209.86826675,209.86826675,209.86826675,05/04/2021
HADDOCK,2014042525weS:8AM-8PM,2014225251726620140427,2014,25,5,2,1726620140427003,4,2,we,8791031301,0,10,8,0,8,10,0,0,4320,15.503906375,2,04,18,15.503906375,4320,8,2014042525weS:8AM-8PM,,0,,8,209.86826675,209.86826675,209.86826675,05/04/2021
