common,strat_id,psu_id,YEAR,ST,MODE_FX,AREA_X,ID_CODE,SUB_REG,WAVE,kod,SP_CODE,CLAIM,RELEASE,HARVEST,CLAIM_UNADJ,HARVEST_UNADJ,RELEASE_UNADJ,tot_len_a,wgt_a,tot_len_b1,wgt_b1,region,month,fl_reg,wp_int,wp_catch,tot_cat,wgt_ab1,tot_len,landing,var_id,arx_method,alt_flag,date_published
,201912913weS:8AM-8PM,201969131764520191213,2019,9,3,5,1764520191213001,4,6,we,,0,0,0,0,0,0,0,0,0,0,1,12,8,296.8501079,296.8501079,0,0,0,0,201912913weS:8AM-8PM,,0,05/04/2021
,201912913wdS:8AM-8PM,201969131764520191224,2019,9,3,5,1764520191224001,4,6,wd,,0,0,0,0,0,0,0,0,0,0,1,12,8,5353.8688756,5353.8688756,0,0,0,0,201912913wdS:8AM-8PM,,0,05/04/2021
,201912913weS:8AM-8PM,201969131764520191227,2019,9,3,5,1764520191227001,4,6,we,,0,0,0,0,0,0,0,0,0,0,1,12,8,3217.184559,3217.184559,0,0,0,0,201912913weS:8AM-8PM,,0,05/04/2021
,201912913weS:8AM-8PM,201969131764520191227,2019,9,3,5,1764520191227002,4,6,we,,0,0,0,0,0,0,0,0,0,0,1,12,8,3217.184559,3217.184559,0,0,0,0,201912913weS:8AM-8PM,,0,05/04/2021
,201912913weS:8AM-8PM,201969131764520191227,2019,9,3,5,1764520191227003,4,6,we,,0,0,0,0,0,0,0,0,0,0,1,12,8,3217.184559,3217.184559,0,0,0,0,201912913weS:8AM-8PM,,0,05/04/2021
,201911913weS:8AM-8PM,201969131772120191109,2019,9,3,5,1772120191109001,4,6,we,,0,0,0,0,0,0,0,0,0,0,1,11,8,39642.43353,39642.43353,0,0,0,0,201911913weS:8AM-8PM,,0,05/04/2021
,201911913weS:8AM-8PM,201969131772120191109,2019,9,3,5,1772120191109002,4,6,we,,0,0,0,0,0,0,0,0,0,0,1,11,8,39642.43353,39642.43353,0,0,0,0,201911913weS:8AM-8PM,,0,05/04/2021
,201911913weS:8AM-8PM,201969131772120191109,2019,9,3,5,1772120191109003,4,6,we,,0,0,0,0,0,0,0,0,0,0,1,11,8,39642.43353,39642.43353,0,0,0,0,201911913weS:8AM-8PM,,0,05/04/2021
,201912913wdS:8AM-8PM,201969131772120191212,2019,9,3,5,1772120191212001,4,6,wd,,0,0,0,0,0,0,0,0,0,0,1,12,8,1503.2038652,1503.2038652,0,0,0,0,201912913wdS:8AM-8PM,,0,05/04/2021
,201912913weS:8AM-8PM,201969131772120191229,2019,9,3,5,1772120191229001,4,6,we,,0,0,0,0,0,0,0,0,0,0,1,12,8,577.94244462,577.94244462,0,0,0,0,201912913weS:8AM-8PM,,0,05/04/2021
,201911913wdS:8AM-8PM,201969131785520191104,2019,9,3,5,1785520191104001,4,6,wd,,0,0,0,0,0,0,0,0,0,0,1,11,8,9294.7919704,9294.7919704,0,0,0,0,201911913wdS:8AM-8PM,,0,05/04/2021
,201911913wdS:8AM-8PM,201969131785520191104,2019,9,3,5,1785520191104002,4,6,wd,,0,0,0,0,0,0,0,0,0,0,1,11,8,30626.4306,30626.4306,0,0,0,0,201911913wdS:8AM-8PM,,0,05/04/2021
,201911913wdS:8AM-8PM,201969131785520191104,2019,9,3,5,1785520191104003,4,6,wd,,0,0,0,0,0,0,0,0,0,0,1,11,8,30626.4306,30626.4306,0,0,0,0,201911913wdS:8AM-8PM,,0,05/04/2021
,201911913wdS:8AM-8PM,201969131785520191104,2019,9,3,5,1785520191104004,4,6,wd,,0,0,0,0,0,0,0,0,0,0,1,11,8,30626.4306,30626.4306,0,0,0,0,201911913wdS:8AM-8PM,,0,05/04/2021
,201911913weS:8AM-8PM,201969131785520191110,2019,9,3,5,1785520191110001,4,6,we,,0,0,0,0,0,0,0,0,0,0,1,11,8,3457.9469482,3457.9469482,0,0,0,0,201911913weS:8AM-8PM,,0,05/04/2021
,201911913weS:8AM-8PM,201969131785520191110,2019,9,3,5,1785520191110002,4,6,we,,0,0,0,0,0,0,0,0,0,0,1,11,8,3457.9469482,3457.9469482,0,0,0,0,201911913weS:8AM-8PM,,0,05/04/2021
SPINY DOGFISH,201911904weHEAD-BOAT,201969041781420191110,2019,9,4,2,1781420191110001,4,6,we,8710010201,0,1,0,0,0,1,0,0,0,0,0,11,8,3.0066142169,3.0066142169,1,0,0,0,201911904weHEAD-BOAT,,0,05/04/2021
BLACK SEA BASS,201911904weHEAD-BOAT,201969041781420191110,2019,9,4,2,1781420191110001,4,6,we,8835020301,2,22,0,2,0,22,802,1.7267539005,0,0,0,11,8,3.0066142169,3.0066142169,24,1.7267539005,802,2,201911904weHEAD-BOAT,,0,05/04/2021
SCUP,201911904weHEAD-BOAT,201969041781420191110,2019,9,4,2,1781420191110001,4,6,we,8835430101,10,16,0,10,0,16,2678,4.3554121697,0,0,0,11,8,3.0066142169,3.0066142169,26,4.3554121697,2678,10,201911904weHEAD-BOAT,,0,05/04/2021
CUNNER,201911904weHEAD-BOAT,201969041781420191110,2019,9,4,2,1781420191110001,4,6,we,8839010201,0,1,0,0,0,1,0,0,0,0,0,11,8,3.0066142169,3.0066142169,1,0,0,0,201911904weHEAD-BOAT,,0,05/04/2021
BLACK SEA BASS,201911904weHEAD-BOAT,201969041781420191110,2019,9,4,2,1781420191110002,4,6,we,8835020301,0,7,0,0,0,7,0,0,0,0,0,11,8,3.0066142169,3.0066142169,7,0,0,0,201911904weHEAD-BOAT,,0,05/04/2021
SCUP,201911904weHEAD-BOAT,201969041781420191110,2019,9,4,2,1781420191110002,4,6,we,8835430101,1,3,0,1,0,3,290,0.5267822963,0,0,0,11,8,3.0066142169,3.0066142169,4,0.5267822963,290,1,201911904weHEAD-BOAT,,0,05/04/2021
BLACK SEA BASS,201911904weHEAD-BOAT,201969041781420191110,2019,9,4,2,1781420191110003,4,6,we,8835020301,0,15,1,0,1,15,0,0,382,0.6905091314,0,11,8,3.0066142169,3.0066142169,16,0.6905091314,382,1,201911904weHEAD-BOAT,,0,05/04/2021
SCUP,201911904weHEAD-BOAT,201969041781420191110,2019,9,4,2,1781420191110003,4,6,we,8835430101,0,30,12,0,12,30,0,0,3360,5.8056789271,0,11,8,3.0066142169,3.0066142169,42,5.8056789271,3360,12,201911904weHEAD-BOAT,,0,05/04/2021
UNIDENTIFIED EEL,201911904weHEAD-BOAT,201969041781420191110,2019,9,4,2,1781420191110004,4,6,we,8741000000,0,1,0,0,0,1,0,0,0,0,0,11,8,3.0066142169,3.0066142169,1,0,0,0,201911904weHEAD-BOAT,,0,05/04/2021
COD FAMILY,201911904weHEAD-BOAT,201969041781420191110,2019,9,4,2,1781420191110004,4,6,we,8791030000,0,1,0,0,0,1,0,0,0,0,0,11,8,3.0066142169,3.0066142169,1,0,0,0,201911904weHEAD-BOAT,,0,05/04/2021
BLACK SEA BASS,201911904weHEAD-BOAT,201969041781420191110,2019,9,4,2,1781420191110004,4,6,we,8835020301,0,6,4,0,4,6,0,0,1511,2.8007221418,0,11,8,3.0066142169,3.0066142169,10,2.8007221418,1511,4,201911904weHEAD-BOAT,,0,05/04/2021
SCUP,201911904weHEAD-BOAT,201969041781420191110,2019,9,4,2,1781420191110004,4,6,we,8835430101,0,4,20,0,20,4,0,0,5300,8.4979704975,0,11,8,3.0066142169,3.0066142169,24,8.4979704975,5300,20,201911904weHEAD-BOAT,,0,05/04/2021
