common,strat_id,psu_id,YEAR,ST,MODE_FX,AREA_X,ID_CODE,SUB_REG,WAVE,kod,SP_CODE,CLAIM,RELEASE,HARVEST,CLAIM_UNADJ,HARVEST_UNADJ,RELEASE_UNADJ,tot_len_a,wgt_a,tot_len_b1,wgt_b1,region,month,wp_int,fl_reg,wp_catch,tot_cat,wgt_ab1,tot_len,landing,var_id,arx_method,alt_flag,date_published
,2021011253wdS:8AM-8PM,2021112531543720210106,2021,12,3,1,1543720210106001,6,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,9315.4866785,8,9315.4866785,0,0,0,0,2021011253wdS:8AM-8PM,,0,04/26/2023
BLUE RUNNER,2021011253wdS:8AM-8PM,2021112531543720210106,2021,12,3,1,1543720210106002,6,1,wd,8835280306,0,1,0,0,0,1,0,0,0,0,5,01,9315.4866785,8,9315.4866785,1,0,0,0,2021011253wdS:8AM-8PM,,0,04/26/2023
,2021011253wdS:8AM-8PM,2021112531543720210106,2021,12,3,1,1543720210106003,6,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,9315.4866785,8,9315.4866785,0,0,0,0,2021011253wdS:8AM-8PM,,0,04/26/2023
,2021011253wdS:8AM-8PM,2021112531543720210106,2021,12,3,1,1543720210106004,6,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,9315.4866785,8,9315.4866785,0,0,0,0,2021011253wdS:8AM-8PM,,0,04/26/2023
,2021011253wdS:8AM-8PM,2021112531543720210106,2021,12,3,1,1543720210106005,6,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,9315.4866785,8,9315.4866785,0,0,0,0,2021011253wdS:8AM-8PM,,0,04/26/2023
,2021011253wdS:8AM-8PM,2021112531543720210106,2021,12,3,1,1543720210106006,6,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,4725.2169052,8,4725.2169052,0,0,0,0,2021011253wdS:8AM-8PM,,0,04/26/2023
,2021011253wdS:8AM-8PM,2021112531543720210106,2021,12,3,1,1543720210106007,6,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,4725.2169052,8,4725.2169052,0,0,0,0,2021011253wdS:8AM-8PM,,0,04/26/2023
,2021011253wdS:8AM-8PM,2021112531543720210106,2021,12,3,1,1543720210106008,6,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,4725.2169052,8,4725.2169052,0,0,0,0,2021011253wdS:8AM-8PM,,0,04/26/2023
,2021011253wdS:8AM-8PM,2021112531543720210106,2021,12,3,1,1543720210106009,6,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,4725.2169052,8,4725.2169052,0,0,0,0,2021011253wdS:8AM-8PM,,0,04/26/2023
,2021011253wdS:8AM-8PM,2021112531543720210106,2021,12,3,1,1543720210106010,6,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,4725.2169052,8,4725.2169052,0,0,0,0,2021011253wdS:8AM-8PM,,0,04/26/2023
,2021011253wdS:8AM-8PM,2021112531543720210106,2021,12,3,1,1543720210106011,6,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,4725.2169052,8,4725.2169052,0,0,0,0,2021011253wdS:8AM-8PM,,0,04/26/2023
