common,strat_id,psu_id,YEAR,ST,ID_CODE,WAVE,SUB_REG,MODE_FX,AREA_X,kod,sp_code,CLAIM,RELEASE,HARVEST,CLAIM_UNADJ,HARVEST_UNADJ,RELEASE_UNADJ,tot_len_a,wgt_a,tot_len_b1,wgt_b1,imp_rec,region,month,wp_int,fl_reg,wp_catch,tot_cat,wgt_ab1,tot_len,landing,var_id,arx_method,alt_flag,date_published
,202211913weS:8AM-8PM,202269131764520221127,2022,9,1764520221127001,6,4,3,5,we,,0,0,0,0,0,0,0,0,0,0,,1,11,2515.2193908,8,2515.2193908,0,0,0,0,202211913weS:8AM-8PM,,0,04/26/2023
,202211913weS:8AM-8PM,202269131764520221127,2022,9,1764520221127002,6,4,3,5,we,,0,0,0,0,0,0,0,0,0,0,,1,11,2515.2193908,8,2515.2193908,0,0,0,0,202211913weS:8AM-8PM,,0,04/26/2023
,202211913wdS:8AM-8PM,202269131794720221110,2022,9,1794720221110007,6,4,3,5,wd,,0,0,0,0,0,0,0,0,0,0,,1,11,1995.4191614,8,1995.4191614,0,0,0,0,202211913wdS:8AM-8PM,,0,04/26/2023
,202211913wdS:8AM-8PM,202269131794720221110,2022,9,1794720221110008,6,4,3,5,wd,,0,0,0,0,0,0,0,0,0,0,,1,11,1995.4191614,8,1995.4191614,0,0,0,0,202211913wdS:8AM-8PM,,0,04/26/2023
BLACK SEA BASS,202211913weS:8AM-8PM,202269131794720221111,2022,9,1794720221111001,6,4,3,5,we,8835020301,0,1,0,0,0,1,0,0,0,0,,1,11,3808.1870844,8,3808.1870844,1,0,0,0,202211913weS:8AM-8PM,,0,04/26/2023
,202211913weS:8AM-8PM,202269131794720221111,2022,9,1794720221111002,6,4,3,5,we,,0,0,0,0,0,0,0,0,0,0,,1,11,3808.1870844,8,3808.1870844,0,0,0,0,202211913weS:8AM-8PM,,0,04/26/2023
,202211913weS:8AM-8PM,202269131794720221111,2022,9,1794720221111003,6,4,3,5,we,,0,0,0,0,0,0,0,0,0,0,,1,11,3808.1870844,8,3808.1870844,0,0,0,0,202211913weS:8AM-8PM,,0,04/26/2023
,202211913weS:8AM-8PM,202269131794720221113,2022,9,1794720221113001,6,4,3,5,we,,0,0,0,0,0,0,0,0,0,0,,1,11,8563.2318203,8,8563.2318203,0,0,0,0,202211913weS:8AM-8PM,,0,04/26/2023
,202211913weS:8AM-8PM,202269131794720221113,2022,9,1794720221113002,6,4,3,5,we,,0,0,0,0,0,0,0,0,0,0,,1,11,8563.2318203,8,8563.2318203,0,0,0,0,202211913weS:8AM-8PM,,0,04/26/2023
,202211913weS:8AM-8PM,202269131794720221113,2022,9,1794720221113003,6,4,3,5,we,,0,0,0,0,0,0,0,0,0,0,,1,11,8563.2318203,8,8563.2318203,0,0,0,0,202211913weS:8AM-8PM,,0,04/26/2023
,202211913weS:8AM-8PM,202269131794720221113,2022,9,1794720221113004,6,4,3,5,we,,0,0,0,0,0,0,0,0,0,0,,1,11,8563.2318203,8,8563.2318203,0,0,0,0,202211913weS:8AM-8PM,,0,04/26/2023
,202211913weS:8AM-8PM,202269131794720221113,2022,9,1794720221113005,6,4,3,5,we,,0,0,0,0,0,0,0,0,0,0,,1,11,8563.2318203,8,8563.2318203,0,0,0,0,202211913weS:8AM-8PM,,0,04/26/2023
,202211913weS:8AM-8PM,202269131794720221113,2022,9,1794720221113006,6,4,3,5,we,,0,0,0,0,0,0,0,0,0,0,,1,11,8563.2318203,8,8563.2318203,0,0,0,0,202211913weS:8AM-8PM,,0,04/26/2023
,202211913weS:8AM-8PM,202269131803720221112,2022,9,1803720221112001,6,4,3,5,we,,0,0,0,0,0,0,0,0,0,0,,1,11,8168.1193057,8,8168.1193057,0,0,0,0,202211913weS:8AM-8PM,,0,04/26/2023
,202211913wdS:8AM-8PM,202269131804620221103,2022,9,1804620221103001,6,4,3,5,wd,,0,0,0,0,0,0,0,0,0,0,,1,11,3972.8556764,8,3972.8556764,0,0,0,0,202211913wdS:8AM-8PM,,0,04/26/2023
,202211913wdS:8AM-8PM,202269131804620221103,2022,9,1804620221103002,6,4,3,5,wd,,0,0,0,0,0,0,0,0,0,0,,1,11,2360.8736422,8,2360.8736422,0,0,0,0,202211913wdS:8AM-8PM,,0,04/26/2023
,202211913wdS:8AM-8PM,202269131804620221103,2022,9,1804620221103003,6,4,3,5,wd,,0,0,0,0,0,0,0,0,0,0,,1,11,2360.8736422,8,2360.8736422,0,0,0,0,202211913wdS:8AM-8PM,,0,04/26/2023
,202211913wdS:8AM-8PM,202269131804620221103,2022,9,1804620221103004,6,4,3,5,wd,,0,0,0,0,0,0,0,0,0,0,,1,11,2360.8736422,8,2360.8736422,0,0,0,0,202211913wdS:8AM-8PM,,0,04/26/2023
,202211913wdS:8AM-8PM,202269131804620221103,2022,9,1804620221103005,6,4,3,5,wd,,0,0,0,0,0,0,0,0,0,0,,1,11,2360.8736422,8,2360.8736422,0,0,0,0,202211913wdS:8AM-8PM,,0,04/26/2023
,202211913wdS:8AM-8PM,202269131804620221115,2022,9,1804620221115001,6,4,3,5,wd,,0,0,0,0,0,0,0,0,0,0,,1,11,53057.164302,8,53057.164302,0,0,0,0,202211913wdS:8AM-8PM,,0,04/26/2023
,202211913wdS:8AM-8PM,202269131804620221115,2022,9,1804620221115002,6,4,3,5,wd,,0,0,0,0,0,0,0,0,0,0,,1,11,53057.164302,8,53057.164302,0,0,0,0,202211913wdS:8AM-8PM,,0,04/26/2023
,202211913wdS:8AM-8PM,202269131804620221115,2022,9,1804620221115003,6,4,3,5,wd,,0,0,0,0,0,0,0,0,0,0,,1,11,53057.164302,8,53057.164302,0,0,0,0,202211913wdS:8AM-8PM,,0,04/26/2023
BLACK SEA BASS,202211915weS:8AM-8PM,202269151764520221106,2022,9,1764520221106013,6,4,5,5,we,8835020301,0,1,0,0,0,1,0,0,0,0,,1,11,8.2962078039,8,8.2962078039,1,0,0,0,202211915weS:8AM-8PM,,0,04/26/2023
SCUP,202211915weS:8AM-8PM,202269151764520221106,2022,9,1764520221106013,6,4,5,5,we,8835430101,0,2,0,0,0,2,0,0,0,0,,1,11,8.2962078039,8,8.2962078039,2,0,0,0,202211915weS:8AM-8PM,,0,04/26/2023
TAUTOG,202211915weS:8AM-8PM,202269151764520221106,2022,9,1764520221106013,6,4,5,5,we,8839010101,14,5,0,14,0,5,5996,20.442249611,0,0,,1,11,8.2962078039,8,8.2962078039,19,20.442249611,5996,14,202211915weS:8AM-8PM,,0,04/26/2023
BLACK SEA BASS,202211915weS:8AM-8PM,202269151764520221106,2022,9,1764520221106014,6,4,5,5,we,8835020301,0,1,0,0,0,1,0,0,0,0,,1,11,8.2962078039,8,8.2962078039,1,0,0,0,202211915weS:8AM-8PM,,0,04/26/2023
TAUTOG,202211915weS:8AM-8PM,202269151764520221106,2022,9,1764520221106014,6,4,5,5,we,8839010101,0,5,0,0,0,5,0,0,0,0,,1,11,8.2962078039,8,8.2962078039,5,0,0,0,202211915weS:8AM-8PM,,0,04/26/2023
BLACK SEA BASS,202211915weS:8AM-8PM,202269151764520221106,2022,9,1764520221106015,6,4,5,5,we,8835020301,0,1,0,0,0,1,0,0,0,0,,1,11,8.2962078039,8,8.2962078039,1,0,0,0,202211915weS:8AM-8PM,,0,04/26/2023
TAUTOG,202211915weS:8AM-8PM,202269151764520221106,2022,9,1764520221106015,6,4,5,5,we,8839010101,0,5,0,0,0,5,0,0,0,0,,1,11,8.2962078039,8,8.2962078039,5,0,0,0,202211915weS:8AM-8PM,,0,04/26/2023
BLACK SEA BASS,202211915weS:8AM-8PM,202269151764520221106,2022,9,1764520221106016,6,4,5,5,we,8835020301,0,1,0,0,0,1,0,0,0,0,,1,11,8.2962078039,8,8.2962078039,1,0,0,0,202211915weS:8AM-8PM,,0,04/26/2023
TAUTOG,202211915weS:8AM-8PM,202269151764520221106,2022,9,1764520221106016,6,4,5,5,we,8839010101,0,5,0,0,0,5,0,0,0,0,,1,11,8.2962078039,8,8.2962078039,5,0,0,0,202211915weS:8AM-8PM,,0,04/26/2023
TAUTOG,202211915weS:8AM-8PM,202269151764520221106,2022,9,1764520221106017,6,4,5,5,we,8839010101,0,5,0,0,0,5,0,0,0,0,,1,11,8.2962078039,8,8.2962078039,5,0,0,0,202211915weS:8AM-8PM,,0,04/26/2023
TAUTOG,202211915weS:8AM-8PM,202269151764520221106,2022,9,1764520221106018,6,4,5,5,we,8839010101,0,5,0,0,0,5,0,0,0,0,,1,11,8.2962078039,8,8.2962078039,5,0,0,0,202211915weS:8AM-8PM,,0,04/26/2023
STRIPED BASS,202211915wdS:8AM-8PM,202269151796720221103,2022,9,1796720221103003,6,4,5,5,wd,8835020102,0,0,1,0,1,0,0,0,840,6.8643800527,,1,11,11.210138198,8,11.210138198,1,6.8643800527,840,1,202211915wdS:8AM-8PM,,0,04/26/2023
